N,종목명,현재가,전일비,등락률,액면가,전일거래량,PER,PBR,PBR_weighted
1.0,삼성전자,73500.0,보합0,0.00%,100.0,28551273.0,25.35,1.38,1.656
2.0,SK하이닉스,189200.0,"하락  6,500",-3.32%,5000.0,2402236.0,-29.86,2.35,2.82
3.0,LG에너지솔루션,331000.0,"상승  3,000",+0.91%,500.0,401661.0,105.21,3.74,4.488
4.0,현대차,253000.0,"하락  4,000",-1.56%,5000.0,640526.0,5.84,0.7,0.84
5.0,삼성바이오로직스,730000.0,"하락  2,000",-0.27%,2500.0,38342.0,58.03,5.19,6.228000000000001
6.0,삼성전자우,60300.0,하락  500,-0.82%,100.0,1381733.0,20.8,1.13,1.3559999999999999
7.0,기아,117700.0,보합0,0.00%,5000.0,1096042.0,5.0,0.98,1.176
8.0,셀트리온,176200.0,"하락  1,100",-0.62%,1000.0,357482.0,74.03,2.16,2.592
9.0,KB금융,79400.0,상승  700,+0.89%,5000.0,1263670.0,6.94,0.53,0.636
10.0,POSCO홀딩스,369000.0,하락  500,-0.14%,5000.0,432926.0,20.63,0.51,0.612
11.0,NAVER,170200.0,하락  200,-0.12%,100.0,947416.0,18.95,1.1,1.32
12.0,삼성SDI,374500.0,"하락  4,500",-1.19%,5000.0,298981.0,14.3,1.33,1.596
13.0,LG화학,351500.0,"상승  1,000",+0.29%,5000.0,634361.0,27.51,0.84,1.008
14.0,삼성물산,135100.0,"하락  1,200",-0.88%,100.0,284183.0,11.15,0.61,0.732
15.0,신한지주,47150.0,"상승  1,150",+2.50%,5000.0,1196258.0,5.61,0.45,0.54
16.0,현대모비스,214500.0,하락  500,-0.23%,5000.0,202252.0,5.86,0.47,0.564
17.0,포스코퓨처엠,250500.0,상승  500,+0.20%,500.0,327148.0,390.19,8.02,9.623999999999999
18.0,카카오,43300.0,하락  350,-0.80%,100.0,798465.0,-18.94,1.92,2.304
19.0,하나금융지주,61700.0,상승  800,+1.31%,5000.0,607490.0,5.31,0.45,0.54
20.0,LG전자,104800.0,"하락  1,500",-1.41%,5000.0,1667504.0,26.45,0.92,1.104
21.0,삼성생명,84300.0,하락  900,-1.06%,500.0,268367.0,8.9,0.36,0.432
22.0,삼성화재,348500.0,"상승  7,000",+2.05%,500.0,58553.0,9.69,0.92,1.104
23.0,한미반도체,161700.0,"하락  3,600",-2.18%,100.0,1970098.0,77.29,25.01,30.012
24.0,메리츠금융지주,76900.0,상승  800,+1.05%,500.0,300547.0,7.34,1.52,1.8239999999999998
25.0,두산에너빌리티,20800.0,상승  200,+0.97%,5000.0,13731664.0,102.46,1.81,2.172
26.0,SK,176200.0,"상승  18,100",+11.45%,200.0,1335950.0,-17.52,0.46,0.552
27.0,LG,81300.0,상승  200,+0.25%,5000.0,141487.0,11.31,0.48,0.576
28.0,한국전력,19450.0,상승  380,+1.99%,5000.0,1857424.0,18.21,0.34,0.40800000000000003
29.0,HMM,18000.0,하락  180,-0.99%,5000.0,1611780.0,8.92,0.56,0.672
30.0,크래프톤,250000.0,"하락  1,000",-0.40%,100.0,88005.0,17.89,1.95,2.34
31.0,삼성에스디에스,153200.0,"하락  1,500",-0.97%,500.0,155747.0,16.89,1.36,1.6320000000000001
32.0,삼성전기,155000.0,"하락  1,600",-1.02%,5000.0,272252.0,24.32,1.46,1.752
33.0,HD현대중공업,128700.0,"하락  3,400",-2.57%,5000.0,133264.0,154.69,2.18,2.616
34.0,아모레퍼시픽,194200.0,"상승  6,200",+3.30%,500.0,424722.0,78.21,2.73,3.276
35.0,고려아연,527000.0,"상승  10,000",+1.93%,5000.0,39333.0,21.79,1.16,1.392
36.0,기업은행,13760.0,상승  480,+3.61%,5000.0,541427.0,4.11,0.35,0.42
37.0,SK텔레콤,51000.0,하락  700,-1.35%,100.0,495056.0,9.63,0.93,1.116
38.0,KT&G,83500.0,"하락  1,700",-2.00%,5000.0,308883.0,12.29,1.04,1.248
39.0,HD현대일렉트릭,301000.0,"상승  11,500",+3.97%,5000.0,512355.0,33.5,9.72,11.664
40.0,카카오뱅크,22250.0,상승  100,+0.45%,5000.0,693816.0,29.91,1.73,2.076
41.0,우리금융지주,14170.0,상승  140,+1.00%,5000.0,1195849.0,4.18,0.34,0.40800000000000003
42.0,SK스퀘어,77600.0,"하락  1,800",-2.27%,100.0,308901.0,-26.42,0.67,0.804
43.0,한화에어로스페이스,205000.0,"상승  1,000",+0.49%,5000.0,456680.0,26.23,2.98,3.576
44.0,SK이노베이션,100000.0,"하락  2,200",-2.15%,5000.0,361181.0,31.3,0.42,0.504
45.0,KT,36600.0,상승  450,+1.24%,5000.0,482431.0,8.71,0.54,0.648
46.0,HD한국조선해양,130400.0,하락  400,-0.31%,5000.0,224061.0,16.77,0.91,1.092
47.0,한화오션,29700.0,하락  150,-0.50%,5000.0,910382.0,22.74,2.09,2.5079999999999996
48.0,KODEX CD금리액티브(합성),1037690.0,상승  220,+0.02%,0.0,366642.0,,,
49.0,하이브,200000.0,"하락  4,000",-1.96%,500.0,388278.0,46.22,2.81,3.372
50.0,삼성중공업,9160.0,하락  160,-1.72%,1000.0,4522692.0,-53.88,2.11,2.5319999999999996
51.0,S-Oil,68200.0,상승  800,+1.19%,2500.0,180564.0,9.36,0.88,1.056
52.0,대한항공,20850.0,상승  450,+2.21%,5000.0,456661.0,6.41,0.8,0.96
53.0,포스코인터내셔널,43050.0,보합0,0.00%,5000.0,297277.0,11.31,1.19,1.428
54.0,DB손해보험,103500.0,"상승  1,100",+1.07%,500.0,106453.0,4.21,0.61,0.732
55.0,TIGER CD금리투자KIS(합성),54395.0,상승  10,+0.02%,0.0,169128.0,,,
56.0,현대글로비스,179500.0,"하락  1,200",-0.66%,500.0,46354.0,6.21,0.85,1.02
57.0,SK바이오팜,85400.0,"상승  1,300",+1.55%,500.0,108328.0,-377.88,21.98,26.376
58.0,LG생활건강,417500.0,"하락  5,000",-1.18%,5000.0,64607.0,46.84,1.28,1.536
59.0,LS ELECTRIC,213500.0,"하락  8,500",-3.83%,5000.0,426809.0,27.39,3.7,4.44
60.0,KODEX 200,36010.0,하락  15,-0.04%,0.0,6689431.0,,,
61.0,LG이노텍,248000.0,"상승  2,000",+0.81%,5000.0,192486.0,9.46,1.21,1.452
62.0,HD현대마린솔루션,131000.0,상승  600,+0.46%,500.0,2695771.0,34.67,41.81,50.172000000000004
63.0,두산밥캣,57700.0,"상승  1,400",+2.49%,500.0,148222.0,6.21,0.92,1.104
64.0,엘앤에프,156400.0,"상승  5,500",+3.64%,500.0,162358.0,-19.49,5.33,6.396
65.0,유한양행,68800.0,"하락  1,000",-1.43%,1000.0,445711.0,44.24,2.55,3.0599999999999996
66.0,맥쿼리인프라,12620.0,상승  20,+0.16%,0.0,577017.0,,,
67.0,현대차2우B,153600.0,"하락  2,100",-1.35%,5000.0,55357.0,3.54,0.42,0.504
68.0,에코프로머티,79400.0,"상승  1,400",+1.79%,500.0,384028.0,-555.24,7.03,8.436
69.0,LS,170100.0,"하락  6,900",-3.90%,5000.0,392925.0,13.78,0.99,1.188
70.0,한국타이어앤테크놀로지,43850.0,상승  250,+0.57%,500.0,354732.0,5.52,0.54,0.648
71.0,HD현대,68700.0,상승  200,+0.29%,1000.0,312401.0,13.38,0.66,0.792
